id,name,identity,align,eye,hair,alive,appearances,first_appearance,year
60,William Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,321,"1940, February",1940
61,Carol Ferris (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,319,"1959, October",1959
64,Jennifer-Lynn Hayden (New Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Living Characters,309,"1983, September",1983
66,Renee Montoya (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,308,"1992, March",1992
67,Harvey Dent (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,306,"1942, August",1942
68,Courtney Whitmore (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,305,"1999, July",1999
69,Kendra Saunders (New Earth),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Deceased Characters,301,"1999, August",1999
72,Kara Zor-El (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,297,"2004, May",2004
73,Jonah Hex (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,291,"1972, March",1972
74,Rex Tyler (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,288,"1940, March",1940
75,Pamela Isley (New Earth),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Living Characters,286,"1966, June",1966
76,Pieter Cross (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,284,"1999, February",1999
77,Jonathan L. Thunder (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,282,"1940, January",1940
78,Mari McCabe (New Earth),Secret Identity,Good Characters,Amber Eyes,Brown Hair,Living Characters,268,"1981, July",1981
79,Scott Free (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,268,"1971, April",1971
80,Martha Clark (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,266,"1986, October",1986
83,John Zatara (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,256,"1938, June",1938
84,Jonathan Kent (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,254,"1986, October",1986
86,Tatsu Yamashiro (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,252,"1983, July",1983
87,Lawrence Trainor (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,250,"1963, June",1963
89,Brion Markov (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Living Characters,245,"1983, July",1983
90,Sanderson Hawkins (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,241,"1941, December",1941
91,Jonathan Chambers (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,239,"1941, September",1941
92,Orion (New Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,237,"1971, March",1971
93,Thaal Sinestro (New Earth),Public Identity,Neutral Characters,Yellow Eyes,Black Hair,Living Characters,237,"1961, August",1961
94,Cassandra Cain (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,235,"1999, July",1999
95,Jason Todd (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,235,"1987, June",1987
97,Jean-Paul Valley (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,234,"1992, October",1992
98,Hippolyta (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,231,"1987, February",1987
99,Joseph Wilson (New Earth),Secret Identity,Neutral Characters,Green Eyes,Blond Hair,Living Characters,229,"1984, May",1984
100,Bernhard Baker (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,229,"1965, September",1965
101,Sylvester Pemberton (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,229,"1941, October",1941
102,Jesse Chambers (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,228,"1992, August",1992
103,Floyd Lawton (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Living Characters,227,"1950, June",1950
105,Tora Olafsdotter (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,225,"1988, April",1988
107,Amanda Waller (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,222,"1986, November",1986
108,Jonathan Crane (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,222,"1941, September",1941
110,Shiera Sanders (New Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Living Characters,219,"1940, January",1940
111,Maxwell Lord IV (New Earth),Public Identity,Neutral Characters,Black Eyes,Brown Hair,Living Characters,218,"1987, May",1987
112,Jeb Stuart (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,218,"1961, May",1961
113,Damian Wayne (Prime Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,216,"1987, September",1987
114,Big Barda (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,216,"1971, October",1971
115,Niles Caulder (New Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Living Characters,214,"1963, June",1963
116,James Corrigan (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,214,"1940, February",1940
117,Samuel Bradley (New Earth),Public Identity,Good Characters,Grey Eyes,Grey Hair,Living Characters,213,"1937, March",1937
118,Richard Tyler (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,212,"1985, November",1985
120,Todd Rice (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,208,"1983, September",1983
122,Matrix (Pocket Universe),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,206,"1988, April",1988
124,William Glenmorgan (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,199,"1940, June",1940
125,Stephanie Brown (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,198,"1992, August",1992
126,Raymond Terrill (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,192,"1992, February",1992
127,Adam Blake (New Earth),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Living Characters,191,"1951, June",1951
129,Jack Ryder (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,188,"1968, April",1968
131,Justin Arthur (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,184,"1941, September",1941
132,Max Mercury (New Earth),Secret Identity,Good Characters,Blue Eyes,Grey Hair,Living Characters,183,"1940, November",1940
133,Abigail Arcane (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,182,"1973, January",1973
134,Thomas Haukins (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,181,"1947, June",1947
137,Travis Morgan (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,180,"1975, November",1975
138,Gorilla Grodd (New Earth),Public Identity,Bad Characters,Grey Eyes,Black Hair,Living Characters,179,"1959, May",1959
139,Talia al Ghul (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,177,"1971, May",1971
141,Patrick Dugan (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,177,"1941, October",1941
143,James Harper Clone (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,176,"1971, January",1971
144,Thomas Kalmaku (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,176,"1960, October",1960
145,Gabrielle Doe (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,175,"1983, July",1983
146,Henry Hall (New Earth),Secret Identity,Good Characters,Red Eyes,Brown Hair,Living Characters,175,"1968, June",1968
147,Connor Hawke (New Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,174,"1994, October",1994
149,Cyrus Gold (New Earth),Secret Identity,Bad Characters,Black Eyes,White Hair,Deceased Characters,174,"1944, October",1944
150,Edward Nashton (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,173,"1988, January",1988
151,Arisia Rrab (New Earth),Public Identity,Good Characters,Yellow Eyes,Blond Hair,Living Characters,173,"1981, May",1981
154,William Magnus (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,170,"1962, April",1962
155,Mary Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,168,"1995, April",1995
156,Jean Loring (New Earth),Public Identity,Bad Characters,Green Eyes,Black Hair,Deceased Characters,168,"1961, October",1961
158,Grant Emerson (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,166,"1994, April",1994
159,Rita Farr (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,166,"1963, June",1963
160,Jason Rusch (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,165,"2004, July",2004
161,Hector Hall (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,165,"1983, September",1983
163,Jaime Reyes (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,164,"2006, February",2006
166,Daniel Leong (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,164,"1942, February",1942
167,Vril Dox II (New Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,163,"1964, February",1964
168,"Roy Raymond, Sr. (New Earth)",Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,163,"1949, November",1949
170,Metron (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Deceased Characters,161,"1971, March",1971
174,Hartley Rathaway (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,160,"1959, May",1959
175,Lana Lang (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,159,"1986, October",1986
176,Rose Wilson (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,158,"1992, October",1992
177,DeSaad (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,158,"1971, May",1971
178,Charles Taine (Pre-Zero Hour),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,158,"1961, May",1961
179,Bane (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,157,"1993, January",1993
183,Eve Eden (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,154,"1966, September",1966
184,Harleen Quinzel (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,153,"1999, October",1999
185,Benjamin Turner (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,153,"1975, May",1975
186,Mark Mardon (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,152,"1960, January",1960
187,Teth-Adam (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,152,"1945, December",1945
188,Catherine Grant (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,151,"1987, January",1987
189,Terrence Sloane (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,151,"1942, January",1942
190,Jason Blood (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,148,"1972, September",1972
193,Thomas Wayne (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,142,"1987, February",1987
194,Arthur Light (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Deceased Characters,142,"1962, June",1962
196,Artemis of Bana-Mighdall (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,141,"1994, September",1994
197,Alanna Strange (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,141,"1958, December",1958
198,Nuidis Vulko (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,140,"1967, September",1967
199,Steven Dayton (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,140,"1964, November",1964
200,Lee Travis (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,139,"1938, October",1938
201,Martin Stein (New Earth),Secret Identity,Good Characters,Brown Eyes,Grey Hair,Deceased Characters,138,"1978, March",1978
205,Unknown Soldier I (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,136,"1970, July",1970
206,Giovanni Giuseppe (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Deceased Characters,136,"1960, July",1960
207,Cynthia Reynolds (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,134,"1984, October",1984
208,Victoria Vale (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,134,"1948, October",1948
209,Lucius Fox (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,133,"1979, January",1979
210,Ganthet (New Earth),Public Identity,Good Characters,Green Eyes,White Hair,Living Characters,132,1992,1992
211,Izaya (New Earth),Public Identity,Good Characters,Grey Eyes,White Hair,Deceased Characters,132,"1971, March",1971
213,Rory Regan (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,131,"1976, September",1976
214,Eclipso (New Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Living Characters,131,"1963, July",1963
216,Kyle Morgan (New Earth),Public Identity,Good Characters,Brown Eyes,Blond Hair,Living Characters,131,"1957, February",1957
217,Matthew Ryan (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,131,"1957, February",1957
218,Dinah Drake (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,131,"1947, August",1947
219,Robert Langstrom (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,130,"1970, June",1970
220,Sargent Steel (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,130,"1964, December",1964
223,Walter Haley (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,129,"1957, February",1957
224,Charles Victor Szasz (New Earth),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,128,"1967, June",1967
225,Ares (New Earth),Public Identity,Bad Characters,Red Eyes,Blond Hair,Living Characters,127,"1987, February",1987
227,Eradicator (New Earth),Public Identity,Good Characters,Photocellular Eyes,Black Hair,Deceased Characters,126,"1989, May",1989
228,Emil Hamilton (New Earth),Public Identity,Bad Characters,Hazel Eyes,Grey Hair,Living Characters,126,"1987, January",1987
229,Richard Swift (New Earth),Secret Identity,Neutral Characters,Grey Eyes,Black Hair,Living Characters,126,"1942, September",1942
230,Frederick Freeman (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,125,"1995, May",1995
231,Katar Hol (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,125,"1989, August",1989
233,Maxima (New Earth),Public Identity,Good Characters,Brown Eyes,Red Hair,Deceased Characters,124,"1989, September",1989
234,Dawn Granger (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,124,"1988, October",1988
235,Inza Cramer (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Deceased Characters,124,"1940, May",1940
236,Linda Danvers (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,123,"1996, September",1996
238,Gunner MacKay (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,123,"1959, May",1959
239,Antonia Monetti (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,122,"1996, October",1996
240,Jack Knight (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,122,"1994, September",1994
242,Nimue Inwudu (New Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Living Characters,121,"1978, February",1978
244,Sarge Clay (New Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,121,"1959, May",1959
246,Pallas Athena (New Earth),Public Identity,Neutral Characters,Grey Eyes,Brown Hair,Living Characters,118,"1958, May",1958
248,Evan McCulloch (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,116,"1989, February",1989
249,Terrence Long (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,116,"1981, June",1981
251,Granny Goodness (New Earth),Public Identity,Bad Characters,Blue Eyes,White Hair,Deceased Characters,115,"1971, June",1971
253,Zeus (New Earth),Public Identity,Neutral Characters,Blue Eyes,White Hair,Living Characters,115,"1941, December",1941
254,Holly Robinson (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,114,"1987, February",1987
255,Martha Kane (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,113,"1987, February",1987
256,Jason Woodrue (New Earth),Public Identity,Bad Characters,Red Eyes,Green Hair,Living Characters,113,"1962, July",1962
257,John Sargent (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,113,"1941, May",1941
258,Dian Belmont (New Earth),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Deceased Characters,113,"1940, February",1940
259,Edward Bloomberg (New Earth),Secret Identity,Good Characters,Yellow Eyes,Grey Hair,Deceased Characters,111,"1984, June",1984
260,Leslie Thompkins (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,111,"1976, March",1976
261,Tara Markov (Team Titans),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,110,1991,1991
262,Dmitri Pushkin (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,110,"1987, February",1987
263,June Moone (New Earth),Secret Identity,Good Characters,Green Eyes,Black Hair,Living Characters,110,"1966, April",1966
264,Mia Dearden (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,109,"2001, May",2001
265,Krypto (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,109,"1955, March",1955
266,Ohiyesa I (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,109,"1949, September",1949
267,Donald Richards (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,109,"1942, March",1942
268,Zauriel (New Earth),Public Identity,Good Characters,Red Eyes,White Hair,Living Characters,108,"1997, June",1997
269,Leonid Kovar (New Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,108,"1968, December",1968
270,Thomas Blake (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,108,"1963, January",1963
271,Emily Briggs (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,107,"1985, September",1985
272,Lilith Clay (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Deceased Characters,107,"1970, February",1970
273,Thomas Tresser (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,106,"1980, September",1980
274,Hans von Hammer (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,106,"1965, February",1965
275,William Polk (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,106,"1948, February",1948
276,Lyla Michaels (New Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Deceased Characters,105,"1982, July",1982
279,Jervis Tetch (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,105,"1948, October",1948
280,Enya Wazzo (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,104,"1989, November",1989
281,Werner Vertigo (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,104,"1978, July",1978
283,Zinda Blake (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,104,"1959, February",1959
285,Aphrodite (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,104,"1941, December",1941
286,Sarah Essen (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,103,"1987, March",1987
287,Jade Nguyen (New Earth),Secret Identity,Bad Characters,Green Eyes,Black Hair,Living Characters,103,"1983, August",1983
289,Wing How (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,103,"1938, October",1938
292,Adolf Hitler (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,101,"1942, March",1942
293,Grace Choi (New Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Living Characters,100,"2003, August",2003
295,Natasha Irons (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,99,"1994, February",1994
296,Katherine Spencer (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,98,"2004, October",2004
297,Stealth (New Earth),Secret Identity,Good Characters,Pink Eyes,White Hair,Deceased Characters,98,"1989, February",1989
298,Lorraine Reilly (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,98,"1982, June",1982
299,Noah Kuttler (New Earth),Public Identity,Bad Characters,Green Eyes,Brown Hair,Living Characters,98,"1976, September",1976
303,Hippolyta Trevor (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,97,"1983, February",1983
305,Bizarro (New Earth),Public Identity,Neutral Characters,Black Eyes,Black Hair,Living Characters,96,"2000, September",2000
306,Henry Henshaw (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,96,"1990, May",1990
308,Maxine Hunkel (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,95,"2007, February",2007
309,Dream (New Earth),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Deceased Characters,95,"1989, January",1989
310,Wade Eiling (New Earth),Public Identity,Bad Characters,Red Eyes,Brown Hair,Living Characters,95,"1987, March",1987
311,Black Manta (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,95,"1967, October",1967
312,Felix Faust (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,95,"1962, March",1962
313,Virgil Hawkins (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,94,"1993, June",1993
314,James Harper (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,94,"1942, April",1942
315,Soranik Natu (New Earth),Public Identity,Good Characters,Purple Eyes,Black Hair,Living Characters,93,"2005, November",2005
316,Anissa Pierce (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,92,"2003, August",2003
